trialNum,underlyingWorld,gridState,cellAskedAbout,answer
0,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""A2"",""C2""],""unsafe"":[""A1""]}","""is_C1_safe?""","[""A3_safe"",""C1_safe""]"
1,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""C1"",""B1""],""unsafe"":[""C3""]}","""is_A1_safe?""","[""A1_safe"",""A2_unsafe""]"
2,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""B3""],""unsafe"":[""B1""]}","""is_C3_safe?""","[""C3_safe""]"
3,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""A1"",""A2""],""unsafe"":[""B3""]}","""is_A3_safe?""","[""A3_safe"",""B2_safe""]"
4,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""A2"",""C3""],""unsafe"":[""C2""]}","""is_A1_safe?""","[""A1_safe"",""A3_safe""]"
5,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B3"",""B1""],""unsafe"":[""B2""]}","""is_A1_safe?""","[""A1_safe"",""A3_safe""]"
6,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B3"",""C2""],""unsafe"":[""B1""]}","""is_C1_safe?""","[""C1_safe"",""C3_safe""]"
7,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B2"",""C2""],""unsafe"":[""B1""]}","""is_C3_safe?""","[""A2_safe"",""C3_safe""]"
8,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""C1""],""unsafe"":[""A3""]}","""is_C3_safe?""","[""B2_safe"",""C3_safe""]"
9,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""C1"",""B1""],""unsafe"":[""A3""]}","""is_A1_safe?""","[""A1_safe"",""B2_safe""]"
