trialNum,gridState,question,goal
0,"{""safe"":[""C1"",""A3""],""unsafe"":[""C2""]}",is_B2_safe?,rows
1,"{""safe"":[""B1"",""C2""],""unsafe"":[""A3""]}",is_C3_safe?,rows
2,"{""safe"":[""B2"",""B1""],""unsafe"":[""B3""]}",is_A1_safe?,columns
3,"{""safe"":[""C1"",""A1""],""unsafe"":[""C3""]}",is_C2_safe?,columns
4,"{""safe"":[""A1"",""C1""],""unsafe"":[""A3""]}",is_A2_safe?,columns
5,"{""safe"":[""C3"",""A2""],""unsafe"":[""C1""]}",is_A1_safe?,columns
6,"{""safe"":[""C1"",""B3""],""unsafe"":[""A2""]}",is_B1_safe?,rows
7,"{""safe"":[""B2"",""B3""],""unsafe"":[""C2""]}",is_B1_safe?,rows
8,"{""safe"":[""B2"",""A2""],""unsafe"":[""C3""]}",is_B3_safe?,rows
9,"{""safe"":[""C2"",""B3""],""unsafe"":[""C1""]}",is_B2_safe?,rows
10,"{""safe"":[""B3"",""C1""],""unsafe"":[""A1""]}",is_C2_safe?,rows
11,"{""safe"":[""A3"",""B3""],""unsafe"":[""B1""]}",is_C2_safe?,rows
12,"{""safe"":[""A2"",""C1""],""unsafe"":[""B1""]}",is_C2_safe?,rows
13,"{""safe"":[""C2"",""B1""],""unsafe"":[""B3""]}",is_A1_safe?,columns
14,"{""safe"":[""A1"",""C1""],""unsafe"":[""C3""]}",is_B1_safe?,columns
15,"{""safe"":[""C1"",""B2""],""unsafe"":[""A1""]}",is_B3_safe?,columns
16,"{""safe"":[""B2"",""A1""],""unsafe"":[""B3""]}",is_A3_safe?,rows
17,"{""safe"":[""B2"",""C3""],""unsafe"":[""A2""]}",is_A3_safe?,columns
18,"{""safe"":[""C1"",""B1""],""unsafe"":[""B2""]}",is_A1_safe?,columns
19,"{""safe"":[""A1"",""B3""],""unsafe"":[""C2""]}",is_C3_safe?,columns
20,"{""safe"":[""B1"",""B3""],""unsafe"":[""A2""]}",is_A3_safe?,rows
21,"{""safe"":[""C1"",""A1""],""unsafe"":[""B1""]}",is_A3_safe?,columns
22,"{""safe"":[""C2"",""A1""],""unsafe"":[""A2""]}",is_C3_safe?,rows
23,"{""safe"":[""C1"",""A3""],""unsafe"":[""B3""]}",is_C3_safe?,columns
24,"{""safe"":[""B1"",""B3""],""unsafe"":[""C3""]}",is_C1_safe?,columns
25,"{""safe"":[""A1"",""C2""],""unsafe"":[""B3""]}",is_B1_safe?,columns
26,"{""safe"":[""A2"",""C3""],""unsafe"":[""A3""]}",is_B2_safe?,columns
27,"{""safe"":[""C2"",""B2""],""unsafe"":[""B1""]}",is_A2_safe?,rows
28,"{""safe"":[""C2"",""B1""],""unsafe"":[""A2""]}",is_B3_safe?,columns
