trialNum,underlyingWorld,gridState,cellAskedAbout,answer
0,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""unsafe""}","{""safe"":[""B1"",""C1""],""unsafe"":[""B3""]}",is_A1_safe?,"A1_safe,B2_unsafe"
1,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""B1""],""unsafe"":[""A2""]}",is_C2_safe?,"C2_safe,C3_safe"
2,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""unsafe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""B2"",""A1""],""unsafe"":[""C3""]}",is_A3_safe?,"A3_safe,C2_safe"
3,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""safe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""C3"",""A1""],""unsafe"":[""A2""]}",is_C2_safe?,"B1_safe,C2_unsafe"
4,"{""A1"":""safe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""B1"",""A1""],""unsafe"":[""A3""]}",is_C1_safe?,"C1_safe,C2_safe"
5,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""unsafe""}","{""safe"":[""A1"",""C2""],""unsafe"":[""B3""]}",is_A2_safe?,"A2_safe,B2_unsafe"
6,"{""A1"":""unsafe"",""A2"":""safe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""B1""],""unsafe"":[""C1""]}",is_A2_safe?,"A2_safe,B2_safe"
7,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""unsafe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C2"",""A1""],""unsafe"":[""A2""]}",is_C1_safe?,"B1_safe,C1_safe"
8,"{""A1"":""safe"",""A2"":""safe"",""A3"":""safe"",""B1"":""safe"",""B2"":""unsafe"",""B3"":""unsafe"",""C1"":""safe"",""C2"":""safe"",""C3"":""safe""}","{""safe"":[""C1"",""B1""],""unsafe"":[""B3""]}",is_C2_safe?,"C2_safe,C3_safe"
9,"{""A1"":""safe"",""A2"":""unsafe"",""A3"":""safe"",""B1"":""safe"",""B2"":""safe"",""B3"":""safe"",""C1"":""unsafe"",""C2"":""unsafe"",""C3"":""safe""}","{""safe"":[""B1"",""C3""],""unsafe"":[""A2""]}",is_B2_safe?,"B2_safe,B3_safe"
