trialNum,gridState,question,goal
0,"{""safe"":[""A3"",""A1""],""unsafe"":[""C2""]}",is_C1_safe?,columns
1,"{""safe"":[""B1"",""C1""],""unsafe"":[""C3""]}",is_A1_safe?,columns
2,"{""safe"":[""C2"",""A2""],""unsafe"":[""B1""]}",is_B2_safe?,columns
3,"{""safe"":[""B3"",""A2""],""unsafe"":[""C2""]}",is_C3_safe?,columns
4,"{""safe"":[""B2"",""B3""],""unsafe"":[""A1""]}",is_C3_safe?,columns
5,"{""safe"":[""A2"",""B2""],""unsafe"":[""A1""]}",is_B3_safe?,rows
6,"{""safe"":[""A1"",""C3""],""unsafe"":[""A3""]}",is_C2_safe?,rows
7,"{""safe"":[""A3"",""C3""],""unsafe"":[""A2""]}",is_C1_safe?,rows
8,"{""safe"":[""C3"",""C1""],""unsafe"":[""C2""]}",is_B3_safe?,columns
9,"{""safe"":[""A3"",""C2""],""unsafe"":[""B1""]}",is_B2_safe?,columns
