trialNum,gridState,question,goal
0,"{""safe"":[""B3"",""A3""],""unsafe"":[""C1""]}",is_B1_safe?,rows
1,"{""safe"":[""C3"",""C1""],""unsafe"":[""A2""]}",is_C2_safe?,rows
2,"{""safe"":[""A1"",""C1""],""unsafe"":[""A2""]}",is_B1_safe?,columns
3,"{""safe"":[""C3"",""B3""],""unsafe"":[""B1""]}",is_C1_safe?,rows
4,"{""safe"":[""C2"",""B3""],""unsafe"":[""B2""]}",is_A3_safe?,rows
5,"{""safe"":[""C2"",""A2""],""unsafe"":[""A1""]}",is_C1_safe?,rows
6,"{""safe"":[""A2"",""B2""],""unsafe"":[""B1""]}",is_C2_safe?,columns
7,"{""safe"":[""C3"",""B3""],""unsafe"":[""A1""]}",is_A3_safe?,columns
8,"{""safe"":[""A2"",""B1""],""unsafe"":[""C3""]}",is_A3_safe?,rows
9,"{""safe"":[""A3"",""C1""],""unsafe"":[""A2""]}",is_C2_safe?,rows
10,"{""safe"":[""C1"",""A2""],""unsafe"":[""B3""]}",is_B1_safe?,columns
11,"{""safe"":[""A1"",""B2""],""unsafe"":[""B1""]}",is_A3_safe?,columns
12,"{""safe"":[""C3"",""A2""],""unsafe"":[""B2""]}",is_A3_safe?,columns
13,"{""safe"":[""C3"",""A2""],""unsafe"":[""C1""]}",is_B3_safe?,columns
14,"{""safe"":[""A2"",""C3""],""unsafe"":[""C2""]}",is_B3_safe?,columns
15,"{""safe"":[""B1"",""C3""],""unsafe"":[""A2""]}",is_B3_safe?,columns
16,"{""safe"":[""C3"",""C1""],""unsafe"":[""B3""]}",is_B1_safe?,columns
17,"{""safe"":[""C3"",""C2""],""unsafe"":[""B3""]}",is_A2_safe?,columns
18,"{""safe"":[""C1"",""A3""],""unsafe"":[""C2""]}",is_A2_safe?,rows
19,"{""safe"":[""A1"",""C2""],""unsafe"":[""B2""]}",is_B1_safe?,columns
20,"{""safe"":[""C1"",""C2""],""unsafe"":[""B2""]}",is_C3_safe?,rows
21,"{""safe"":[""A3"",""A1""],""unsafe"":[""C3""]}",is_C1_safe?,columns
22,"{""safe"":[""A2"",""C2""],""unsafe"":[""A3""]}",is_B2_safe?,columns
23,"{""safe"":[""C1"",""C2""],""unsafe"":[""A3""]}",is_B1_safe?,columns
24,"{""safe"":[""B3"",""C1""],""unsafe"":[""C2""]}",is_A1_safe?,columns
25,"{""safe"":[""C2"",""C1""],""unsafe"":[""B3""]}",is_B2_safe?,columns
26,"{""safe"":[""A1"",""B3""],""unsafe"":[""A3""]}",is_B2_safe?,rows
27,"{""safe"":[""A2"",""B2""],""unsafe"":[""C1""]}",is_A1_safe?,rows
28,"{""safe"":[""A1"",""C2""],""unsafe"":[""B2""]}",is_C3_safe?,rows
29,"{""safe"":[""B2"",""C2""],""unsafe"":[""C3""]}",is_A2_safe?,rows
30,"{""safe"":[""C2"",""A3""],""unsafe"":[""B1""]}",is_B3_safe?,columns
31,"{""safe"":[""C1"",""C3""],""unsafe"":[""C2""]}",is_A3_safe?,columns
32,"{""safe"":[""A1"",""C1""],""unsafe"":[""B1""]}",is_C3_safe?,columns
33,"{""safe"":[""B2"",""A3""],""unsafe"":[""C2""]}",is_B1_safe?,rows
34,"{""safe"":[""A2"",""B1""],""unsafe"":[""C2""]}",is_B2_safe?,rows
35,"{""safe"":[""B2"",""C2""],""unsafe"":[""B1""]}",is_B3_safe?,rows
36,"{""safe"":[""C2"",""A2""],""unsafe"":[""C1""]}",is_B2_safe?,columns
