trialNum,gridState,question,goal
0,"{""safe"":[""B3"",""C1""],""unsafe"":[""A3""]}","""is_B2_safe?""",rows
1,"{""safe"":[""A1"",""C1""],""unsafe"":[""A3""]}","""is_C3_safe?""",rows
2,"{""safe"":[""B1"",""B2""],""unsafe"":[""A1""]}","""is_A2_safe?""",columns
3,"{""safe"":[""C1"",""B2""],""unsafe"":[""C2""]}","""is_A1_safe?""",columns
4,"{""safe"":[""A3"",""A2""],""unsafe"":[""B2""]}","""is_B3_safe?""",columns
5,"{""safe"":[""A1"",""C1""],""unsafe"":[""A2""]}","""is_B1_safe?""",columns
6,"{""safe"":[""C2"",""A2""],""unsafe"":[""B3""]}","""is_B2_safe?""",columns
7,"{""safe"":[""B3"",""C3""],""unsafe"":[""A2""]}","""is_A3_safe?""",columns
8,"{""safe"":[""C3"",""C2""],""unsafe"":[""B2""]}","""is_C1_safe?""",rows
9,"{""safe"":[""A3"",""B2""],""unsafe"":[""A1""]}","""is_B1_safe?""",rows
