trialNum,gridState,question,goal
0,"{""safe"":[""C2"",""A2""],""unsafe"":[""C3""]}",is_B2_safe?,columns
1,"{""safe"":[""A1"",""C1""],""unsafe"":[""C3""]}",is_B1_safe?,columns
2,"{""safe"":[""A1"",""A3""],""unsafe"":[""C1""]}",is_B3_safe?,columns
3,"{""safe"":[""B2"",""C1""],""unsafe"":[""C2""]}",is_B1_safe?,rows
4,"{""safe"":[""B1"",""B3""],""unsafe"":[""C3""]}",is_A2_safe?,columns
5,"{""safe"":[""B2"",""A2""],""unsafe"":[""B1""]}",is_A3_safe?,rows
6,"{""safe"":[""B2"",""A2""],""unsafe"":[""B3""]}",is_C2_safe?,columns
7,"{""safe"":[""A2"",""C2""],""unsafe"":[""A1""]}",is_B1_safe?,rows
8,"{""safe"":[""C1"",""B3""],""unsafe"":[""C2""]}",is_C3_safe?,columns
9,"{""safe"":[""A3"",""C3""],""unsafe"":[""B1""]}",is_B3_safe?,columns
10,"{""safe"":[""C1"",""A2""],""unsafe"":[""C3""]}",is_A1_safe?,rows
11,"{""safe"":[""A1"",""C3""],""unsafe"":[""B2""]}",is_B1_safe?,columns
12,"{""safe"":[""A3"",""C3""],""unsafe"":[""C2""]}",is_B2_safe?,rows
13,"{""safe"":[""A3"",""C3""],""unsafe"":[""B2""]}",is_A2_safe?,rows
14,"{""safe"":[""B1"",""A2""],""unsafe"":[""A3""]}",is_C2_safe?,columns
15,"{""safe"":[""C3"",""A1""],""unsafe"":[""A3""]}",is_B1_safe?,columns
16,"{""safe"":[""B1"",""C1""],""unsafe"":[""B3""]}",is_A1_safe?,rows
17,"{""safe"":[""A2"",""C2""],""unsafe"":[""B1""]}",is_B2_safe?,columns
18,"{""safe"":[""C2"",""B1""],""unsafe"":[""A2""]}",is_B3_safe?,rows
19,"{""safe"":[""B2"",""C3""],""unsafe"":[""B1""]}",is_A2_safe?,columns
20,"{""safe"":[""A1"",""C1""],""unsafe"":[""B2""]}",is_C3_safe?,rows
21,"{""safe"":[""A3"",""A2""],""unsafe"":[""B1""]}",is_B3_safe?,columns
22,"{""safe"":[""C3"",""A1""],""unsafe"":[""A3""]}",is_B1_safe?,columns
23,"{""safe"":[""B1"",""A3""],""unsafe"":[""B3""]}",is_B2_safe?,rows
24,"{""safe"":[""B1"",""A1""],""unsafe"":[""C3""]}",is_B2_safe?,rows
25,"{""safe"":[""A1"",""B2""],""unsafe"":[""A2""]}",is_B3_safe?,columns
26,"{""safe"":[""C3"",""B3""],""unsafe"":[""A1""]}",is_B2_safe?,rows
27,"{""safe"":[""A2"",""C1""],""unsafe"":[""A3""]}",is_C2_safe?,columns
28,"{""safe"":[""A3"",""C3""],""unsafe"":[""A1""]}",is_B3_safe?,columns
29,"{""safe"":[""B1"",""A2""],""unsafe"":[""C3""]}",is_B3_safe?,rows
30,"{""safe"":[""C3"",""A3""],""unsafe"":[""A2""]}",is_C1_safe?,rows
31,"{""safe"":[""B2"",""C1""],""unsafe"":[""C2""]}",is_B3_safe?,rows
32,"{""safe"":[""A1"",""C1""],""unsafe"":[""A3""]}",is_C2_safe?,rows
33,"{""safe"":[""B1"",""C1""],""unsafe"":[""B2""]}",is_C2_safe?,rows
34,"{""safe"":[""B1"",""B3""],""unsafe"":[""A2""]}",is_B2_safe?,rows
35,"{""safe"":[""A2"",""A1""],""unsafe"":[""A3""]}",is_B3_safe?,rows
36,"{""safe"":[""A1"",""B1""],""unsafe"":[""C2""]}",is_A3_safe?,columns
37,"{""safe"":[""C1"",""A2""],""unsafe"":[""C3""]}",is_B2_safe?,columns
38,"{""safe"":[""A3"",""A2""],""unsafe"":[""A1""]}",is_C3_safe?,columns
39,"{""safe"":[""A2"",""B3""],""unsafe"":[""C2""]}",is_A3_safe?,rows
40,"{""safe"":[""C2"",""B2""],""unsafe"":[""A1""]}",is_C1_safe?,rows
41,"{""safe"":[""B3"",""A1""],""unsafe"":[""C1""]}",is_C2_safe?,columns
42,"{""safe"":[""C1"",""A2""],""unsafe"":[""B3""]}",is_B1_safe?,rows
43,"{""safe"":[""B3"",""B2""],""unsafe"":[""B1""]}",is_C3_safe?,rows
44,"{""safe"":[""B2"",""A2""],""unsafe"":[""B3""]}",is_C1_safe?,rows
45,"{""safe"":[""C1"",""B3""],""unsafe"":[""A1""]}",is_B2_safe?,rows
46,"{""safe"":[""C2"",""A2""],""unsafe"":[""A3""]}",is_C1_safe?,rows
47,"{""safe"":[""A3"",""B1""],""unsafe"":[""B3""]}",is_C1_safe?,rows
48,"{""safe"":[""B2"",""A2""],""unsafe"":[""C3""]}",is_A3_safe?,rows
49,"{""safe"":[""A3"",""C3""],""unsafe"":[""A2""]}",is_C2_safe?,rows
50,"{""safe"":[""B3"",""A1""],""unsafe"":[""B1""]}",is_C3_safe?,columns
51,"{""safe"":[""C2"",""A3""],""unsafe"":[""A1""]}",is_C1_safe?,rows
52,"{""safe"":[""B2"",""C1""],""unsafe"":[""A2""]}",is_B1_safe?,columns
53,"{""safe"":[""A1"",""C1""],""unsafe"":[""A3""]}",is_B1_safe?,columns
54,"{""safe"":[""A2"",""B1""],""unsafe"":[""C3""]}",is_C2_safe?,columns
55,"{""safe"":[""A1"",""C2""],""unsafe"":[""C1""]}",is_A2_safe?,columns
56,"{""safe"":[""A3"",""C3""],""unsafe"":[""B3""]}",is_C1_safe?,rows
57,"{""safe"":[""B1"",""A2""],""unsafe"":[""C2""]}",is_B2_safe?,rows
58,"{""safe"":[""C2"",""A1""],""unsafe"":[""A3""]}",is_B1_safe?,columns
59,"{""safe"":[""A2"",""A1""],""unsafe"":[""B3""]}",is_A3_safe?,rows
60,"{""safe"":[""C3"",""A2""],""unsafe"":[""A3""]}",is_C2_safe?,rows
61,"{""safe"":[""C1"",""B3""],""unsafe"":[""A2""]}",is_B2_safe?,rows
62,"{""safe"":[""B3"",""C3""],""unsafe"":[""A3""]}",is_C1_safe?,columns
63,"{""safe"":[""A3"",""B3""],""unsafe"":[""A2""]}",is_C3_safe?,columns
64,"{""safe"":[""B1"",""A3""],""unsafe"":[""B3""]}",is_B2_safe?,columns
65,"{""safe"":[""C1"",""A3""],""unsafe"":[""B3""]}",is_A1_safe?,rows
66,"{""safe"":[""A1"",""C3""],""unsafe"":[""B2""]}",is_A3_safe?,rows
67,"{""safe"":[""C2"",""A2""],""unsafe"":[""B1""]}",is_C3_safe?,rows
68,"{""safe"":[""A1"",""A3""],""unsafe"":[""C2""]}",is_B3_safe?,columns
69,"{""safe"":[""A3"",""A1""],""unsafe"":[""B1""]}",is_A2_safe?,rows
70,"{""safe"":[""B1"",""B2""],""unsafe"":[""C1""]}",is_C2_safe?,columns
71,"{""safe"":[""C2"",""A1""],""unsafe"":[""A3""]}",is_B1_safe?,columns
72,"{""safe"":[""C2"",""B3""],""unsafe"":[""B1""]}",is_C1_safe?,rows
73,"{""safe"":[""C2"",""B2""],""unsafe"":[""B3""]}",is_A2_safe?,columns
74,"{""safe"":[""A1"",""A3""],""unsafe"":[""B2""]}",is_B1_safe?,columns
75,"{""safe"":[""C3"",""C2""],""unsafe"":[""A1""]}",is_A2_safe?,rows
76,"{""safe"":[""B3"",""B1""],""unsafe"":[""C1""]}",is_C3_safe?,columns
77,"{""safe"":[""B3"",""B1""],""unsafe"":[""A3""]}",is_B2_safe?,rows
78,"{""safe"":[""B3"",""C3""],""unsafe"":[""C2""]}",is_B1_safe?,rows
79,"{""safe"":[""B1"",""C1""],""unsafe"":[""C2""]}",is_A1_safe?,columns
80,"{""safe"":[""B3"",""B1""],""unsafe"":[""A2""]}",is_C1_safe?,rows
81,"{""safe"":[""B3"",""A1""],""unsafe"":[""B2""]}",is_A2_safe?,rows
82,"{""safe"":[""A3"",""C1""],""unsafe"":[""C3""]}",is_B1_safe?,rows
83,"{""safe"":[""B2"",""C2""],""unsafe"":[""A3""]}",is_A2_safe?,columns
84,"{""safe"":[""C2"",""B3""],""unsafe"":[""A3""]}",is_A2_safe?,rows
85,"{""safe"":[""C1"",""B2""],""unsafe"":[""A3""]}",is_B3_safe?,rows
86,"{""safe"":[""C1"",""A1""],""unsafe"":[""B2""]}",is_A3_safe?,rows
87,"{""safe"":[""C3"",""A3""],""unsafe"":[""C2""]}",is_A2_safe?,rows
88,"{""safe"":[""C1"",""A3""],""unsafe"":[""A2""]}",is_B3_safe?,rows
89,"{""safe"":[""B1"",""B2""],""unsafe"":[""A3""]}",is_B3_safe?,rows
90,"{""safe"":[""A1"",""A3""],""unsafe"":[""B3""]}",is_C3_safe?,rows
91,"{""safe"":[""C3"",""A3""],""unsafe"":[""A1""]}",is_B3_safe?,columns
92,"{""safe"":[""B3"",""C1""],""unsafe"":[""C2""]}",is_B2_safe?,rows
93,"{""safe"":[""B2"",""A2""],""unsafe"":[""A1""]}",is_B1_safe?,rows
94,"{""safe"":[""C1"",""A3""],""unsafe"":[""C3""]}",is_B2_safe?,columns
95,"{""safe"":[""C2"",""A3""],""unsafe"":[""A1""]}",is_C1_safe?,columns
96,"{""safe"":[""C1"",""C2""],""unsafe"":[""A2""]}",is_A3_safe?,columns
97,"{""safe"":[""A1"",""B2""],""unsafe"":[""A3""]}",is_B1_safe?,rows
98,"{""safe"":[""C3"",""B2""],""unsafe"":[""C2""]}",is_A3_safe?,rows
99,"{""safe"":[""A2"",""C3""],""unsafe"":[""B3""]}",is_C1_safe?,rows
