configuration,answererType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-146.51796326719338
3_1_0.5,explicit,3,1,0.5,-184.94245460573657
3_1_0.1,pragmatic,3,1,0.1,-144.39915836797738
3_1_0.1,explicit,3,1,0.1,-180.0136103579562
3_1_1.5,pragmatic,3,1,1.5,-162.92826751088023
3_1_1.5,explicit,3,1,1.5,-211.436247237278
3_1_2.0,pragmatic,3,1,2.0,-179.11850310944513
3_1_2.0,explicit,3,1,2.0,-233.68135102475446
3_1_2.5,pragmatic,3,1,2.5,-201.4462535148911
3_1_2.5,explicit,3,1,2.5,-261.8891072534063
3_2_0.5,pragmatic,3,2,0.5,-123.54380134601446
3_2_0.5,explicit,3,2,0.5,-195.35917781858566
3_2_0.1,pragmatic,3,2,0.1,-121.57845669599023
3_2_0.1,explicit,3,2,0.1,-180.9995405144378
3_2_1.5,pragmatic,3,2,1.5,-174.61661241834594
3_2_1.5,explicit,3,2,1.5,-295.22914618605415
3_2_2.0,pragmatic,3,2,2.0,-233.72965585687314
3_2_2.0,explicit,3,2,2.0,-372.7624533877209
3_2_2.5,pragmatic,3,2,2.5,-309.6184690304172
3_2_2.5,explicit,3,2,2.5,-458.31346681912794
3_3_0.5,pragmatic,3,3,0.5,-109.37380263156216
3_3_0.5,explicit,3,3,0.5,-211.436247237278
3_3_0.1,pragmatic,3,3,0.1,-109.55483517291944
3_3_0.1,explicit,3,3,0.1,-182.1432577629999
3_3_1.5,pragmatic,3,3,1.5,-207.73826794945253
3_3_1.5,explicit,3,3,1.5,-414.90572048223044
3_3_2.0,pragmatic,3,3,2.0,-320.87115426582915
3_3_2.0,explicit,3,3,2.0,-547.231758697065
3_3_2.5,pragmatic,3,3,2.5,-451.1596811973893
3_3_2.5,explicit,3,3,2.5,-682.7761605106717
3_4_0.5,pragmatic,3,4,0.5,-102.12060022229412
3_4_0.5,explicit,3,4,0.5,-233.68135102475446
3_4_0.1,pragmatic,3,4,0.1,-105.39619970280248
3_4_0.1,explicit,3,4,0.1,-183.454364645986
3_4_1.5,pragmatic,3,4,1.5,-252.9454574980086
3_4_1.5,explicit,3,4,1.5,-547.231758697065
3_4_2.0,pragmatic,3,4,2.0,-419.7221670918896
3_4_2.0,explicit,3,4,2.0,-728.1675908020835
3_4_2.5,pragmatic,3,4,2.5,-599.4162894676674
3_4_2.5,explicit,3,4,2.5,-910.022697388829
3_5_0.5,pragmatic,3,5,0.5,-99.76254275546667
3_5_0.5,explicit,3,5,0.5,-261.8891072534063
3_5_0.1,pragmatic,3,5,0.1,-106.17460439104632
3_5_0.1,explicit,3,5,0.1,-184.94245460573657
3_5_1.5,pragmatic,3,5,1.5,-304.3168143698496
3_5_1.5,explicit,3,5,1.5,-682.7761605106717
3_5_2.0,pragmatic,3,5,2.0,-522.2327341545491
3_5_2.0,explicit,3,5,2.0,-910.022697388829
3_5_2.5,pragmatic,3,5,2.5,-748.8873984030505
3_5_2.5,explicit,3,5,2.5,-1137.5018633092266
3_6_0.5,pragmatic,3,6,0.5,-100.72190994367816
3_6_0.5,explicit,3,6,0.5,-295.22914618605415
3_6_0.1,pragmatic,3,6,0.1,-109.88190662297637
3_6_0.1,explicit,3,6,0.1,-186.61700981500928
3_6_1.5,pragmatic,3,6,1.5,-358.8903609536662
3_6_1.5,explicit,3,6,1.5,-819.061685872398
3_6_2.0,pragmatic,3,6,2.0,-625.9022530394899
3_6_2.0,explicit,3,6,2.0,-1092.003072058987
3_6_2.5,pragmatic,3,6,2.5,-898.5899835354782
3_6_2.5,explicit,3,6,2.5,-1365.000152951043
3_7_0.5,pragmatic,3,7,0.5,-103.92832232005571
3_7_0.5,explicit,3,7,0.5,-332.5619763134395
3_7_0.1,pragmatic,3,7,0.1,-115.3414105114485
3_7_0.1,explicit,3,7,0.1,-188.48728941062092
3_7_1.5,pragmatic,3,7,1.5,-415.20341564497744
3_7_1.5,explicit,3,7,1.5,-955.5137672769399
3_7_2.0,pragmatic,3,7,2.0,-729.9561198065958
3_7_2.0,explicit,3,7,2.0,-1274.000415763497
3_7_2.5,pragmatic,3,7,2.5,-1048.3394811239266
3_7_2.5,explicit,3,7,2.5,-1592.5000125549986
4_1_0.5,pragmatic,4,1,0.5,-142.6890713540564
4_1_0.5,explicit,4,1,0.5,-184.94245460573657
4_1_0.1,pragmatic,4,1,0.1,-140.55942480204007
4_1_0.1,explicit,4,1,0.1,-180.0136103579562
4_1_1.5,pragmatic,4,1,1.5,-159.1363987453138
4_1_1.5,explicit,4,1,1.5,-211.436247237278
4_1_2.0,pragmatic,4,1,2.0,-175.34716531779515
4_1_2.0,explicit,4,1,2.0,-233.68135102475446
4_1_2.5,pragmatic,4,1,2.5,-197.69337661643348
4_1_2.5,explicit,4,1,2.5,-261.8891072534063
4_2_0.5,pragmatic,4,2,0.5,-116.96634456198468
4_2_0.5,explicit,4,2,0.5,-195.35917781858566
4_2_0.1,pragmatic,4,2,0.1,-115.03767653246787
4_2_0.1,explicit,4,2,0.1,-180.9995405144378
4_2_1.5,pragmatic,4,2,1.5,-167.68800136973343
4_2_1.5,explicit,4,2,1.5,-295.22914618605415
4_2_2.0,pragmatic,4,2,2.0,-226.57207539060528
4_2_2.0,explicit,4,2,2.0,-372.7624533877209
4_2_2.5,pragmatic,4,2,2.5,-302.3146396896964
4_2_2.5,explicit,4,2,2.5,-458.31346681912794
4_3_0.5,pragmatic,4,3,0.5,-100.82098004041218
4_3_0.5,explicit,4,3,0.5,-211.436247237278
4_3_0.1,pragmatic,4,3,0.1,-101.10534502242442
4_3_0.1,explicit,4,3,0.1,-182.1432577629999
4_3_1.5,pragmatic,4,3,1.5,-197.48196471162268
4_3_1.5,explicit,4,3,1.5,-414.90572048223044
4_3_2.0,pragmatic,4,3,2.0,-309.99775141535025
4_3_2.0,explicit,4,3,2.0,-547.231758697065
4_3_2.5,pragmatic,4,3,2.5,-440.0923820128984
4_3_2.5,explicit,4,3,2.5,-682.7761605106717
4_4_0.5,pragmatic,4,4,0.5,-91.86871776643173
4_4_0.5,explicit,4,4,0.5,-233.68135102475446
4_4_0.1,pragmatic,4,4,0.1,-95.20293561496968
4_4_0.1,explicit,4,4,0.1,-183.454364645986
4_4_1.5,pragmatic,4,4,1.5,-239.0145161096978
4_4_1.5,explicit,4,4,1.5,-547.231758697065
4_4_2.0,pragmatic,4,4,2.0,-405.032200505069
4_4_2.0,explicit,4,4,2.0,-728.1675908020835
4_4_2.5,pragmatic,4,4,2.5,-584.5987706913411
4_4_2.5,explicit,4,4,2.5,-910.022697388829
4_5_0.5,pragmatic,4,5,0.5,-87.75183493581949
4_5_0.5,explicit,4,5,0.5,-261.8891072534063
4_5_0.1,pragmatic,4,5,0.1,-94.04386467511827
4_5_0.1,explicit,4,5,0.1,-184.94245460573657
4_5_1.5,pragmatic,4,5,1.5,-286.5483582493346
4_5_1.5,explicit,4,5,1.5,-682.7761605106717
4_5_2.0,pragmatic,4,5,2.0,-503.7579194198719
4_5_2.0,explicit,4,5,2.0,-910.022697388829
4_5_2.5,pragmatic,4,5,2.5,-730.3457397873749
4_5_2.5,explicit,4,5,2.5,-1137.5018633092266
4_6_0.5,pragmatic,4,6,0.5,-86.77645603489204
4_6_0.5,explicit,4,6,0.5,-295.22914618605415
4_6_0.1,pragmatic,4,6,0.1,-95.55621061090811
4_6_0.1,explicit,4,6,0.1,-186.61700981500928
4_6_1.5,pragmatic,4,6,1.5,-337.25179609443796
4_6_1.5,explicit,4,6,1.5,-819.061685872398
4_6_2.0,pragmatic,4,6,2.0,-603.6787599262419
4_6_2.0,explicit,4,6,2.0,-1092.003072058987
4_6_2.5,pragmatic,4,6,2.5,-876.3344167332986
4_6_2.5,explicit,4,6,2.5,-1365.000152951043
4_7_0.5,pragmatic,4,7,0.5,-87.87343956288062
4_7_0.5,explicit,4,7,0.5,-332.5619763134395
4_7_0.1,pragmatic,4,7,0.1,-98.61546161934616
4_7_0.1,explicit,4,7,0.1,-188.48728941062092
4_7_1.5,pragmatic,4,7,1.5,-389.7117359005746
4_7_1.5,explicit,4,7,1.5,-955.5137672769399
4_7_2.0,pragmatic,4,7,2.0,-704.0046300935618
4_7_2.0,explicit,4,7,2.0,-1274.000415763497
4_7_2.5,pragmatic,4,7,2.5,-1022.373145754127
4_7_2.5,explicit,4,7,2.5,-1592.5000125549986
5_1_0.5,pragmatic,5,1,0.5,-139.53906270609494
5_1_0.5,explicit,5,1,0.5,-184.94245460573657
5_1_0.1,pragmatic,5,1,0.1,-137.39640841798575
5_1_0.1,explicit,5,1,0.1,-180.0136103579562
5_1_1.5,pragmatic,5,1,1.5,-156.02999056210462
5_1_1.5,explicit,5,1,1.5,-211.436247237278
5_1_2.0,pragmatic,5,1,2.0,-172.26455822288614
5_1_2.0,explicit,5,1,2.0,-233.68135102475446
5_1_2.5,pragmatic,5,1,2.5,-194.63212523206687
5_1_2.5,explicit,5,1,2.5,-261.8891072534063
5_2_0.5,pragmatic,5,2,0.5,-111.7790660758993
5_2_0.5,explicit,5,2,0.5,-195.35917781858566
5_2_0.1,pragmatic,5,2,0.1,-109.88089622269584
5_2_0.1,explicit,5,2,0.1,-180.9995405144378
5_2_1.5,pragmatic,5,2,1.5,-162.16420458893492
5_2_1.5,explicit,5,2,1.5,-295.22914618605415
5_2_2.0,pragmatic,5,2,2.0,-220.81958058277237
5_2_2.0,explicit,5,2,2.0,-372.7624533877209
5_2_2.5,pragmatic,5,2,2.5,-296.4140509345483
5_2_2.5,explicit,5,2,2.5,-458.31346681912794
5_3_0.5,pragmatic,5,3,0.5,-94.37010958311951
5_3_0.5,explicit,5,3,0.5,-211.436247237278
5_3_0.1,pragmatic,5,3,0.1,-94.73787705893429
5_3_0.1,explicit,5,3,0.1,-182.1432577629999
5_3_1.5,pragmatic,5,3,1.5,-189.39181704149374
5_3_1.5,explicit,5,3,1.5,-414.90572048223044
5_3_2.0,pragmatic,5,3,2.0,-301.2510479739251
5_3_2.0,explicit,5,3,2.0,-547.231758697065
5_3_2.5,pragmatic,5,3,2.5,-431.1329667558509
5_3_2.5,explicit,5,3,2.5,-682.7761605106717
5_4_0.5,pragmatic,5,4,0.5,-84.43278671913738
5_4_0.5,explicit,5,4,0.5,-233.68135102475446
5_4_0.1,pragmatic,5,4,0.1,-87.79096366072868
5_4_0.1,explicit,5,4,0.1,-183.454364645986
5_4_1.5,pragmatic,5,4,1.5,-228.03303980888174
5_4_1.5,explicit,5,4,1.5,-547.231758697065
5_4_2.0,pragmatic,5,4,2.0,-393.17290579071147
5_4_2.0,explicit,5,4,2.0,-728.1675908020835
5_4_2.5,pragmatic,5,4,2.5,-572.587129600765
5_4_2.5,explicit,5,4,2.5,-910.022697388829
5_5_0.5,pragmatic,5,5,0.5,-79.32771336975188
5_5_0.5,explicit,5,5,0.5,-261.8891072534063
5_5_0.1,pragmatic,5,5,0.1,-85.46269718085901
5_5_0.1,explicit,5,5,0.1,-184.94245460573657
5_5_1.5,pragmatic,5,5,1.5,-272.4895410792288
5_5_1.5,explicit,5,5,1.5,-682.7761605106717
5_5_2.0,pragmatic,5,5,2.0,-488.80692506379006
5_5_2.0,explicit,5,5,2.0,-910.022697388829
5_5_2.5,pragmatic,5,5,2.5,-715.3080616220559
5_5_2.5,explicit,5,5,2.5,-1137.5018633092266
5_6_0.5,pragmatic,5,6,0.5,-77.2892809110767
