configuration,questionerType,alpha_q,alpha_a,beta,likelihood
3_1_0.5,pragmatic,3,1,0.5,-162.4494025041373
3_1_0.5,explicit,3,1,0.5,-162.80703089639871
3_1_0.1,pragmatic,3,1,0.1,-162.58030843778067
3_1_0.1,explicit,3,1,0.1,-162.97099149527605
3_1_1.5,pragmatic,3,1,1.5,-162.02329275922145
3_1_1.5,explicit,3,1,1.5,-162.28218371970942
3_1_2.0,pragmatic,3,1,2.0,-161.80136506688322
3_1_2.0,explicit,3,1,2.0,-162.0097801371885
3_1_2.5,pragmatic,3,1,2.5,-161.61113802051648
3_1_2.5,explicit,3,1,2.5,-161.77217227787693
3_2_0.5,pragmatic,3,2,0.5,-162.10528674522192
3_2_0.5,explicit,3,2,0.5,-162.80703089639871
3_2_0.1,pragmatic,3,2,0.1,-162.23682852295792
3_2_0.1,explicit,3,2,0.1,-162.97099149527605
3_2_1.5,pragmatic,3,2,1.5,-161.66660757971343
3_2_1.5,explicit,3,2,1.5,-162.28218371970942
3_2_2.0,pragmatic,3,2,2.0,-161.4390793332274
3_2_2.0,explicit,3,2,2.0,-162.0097801371885
3_2_2.5,pragmatic,3,2,2.5,-161.25802989255666
3_2_2.5,explicit,3,2,2.5,-161.77217227787693
3_3_0.5,pragmatic,3,3,0.5,-162.03090195484612
3_3_0.5,explicit,3,3,0.5,-162.80703089639871
3_3_0.1,pragmatic,3,3,0.1,-162.17519594582646
3_3_0.1,explicit,3,3,0.1,-162.97099149527605
3_3_1.5,pragmatic,3,3,1.5,-161.50609602436262
3_3_1.5,explicit,3,3,1.5,-162.28218371970942
3_3_2.0,pragmatic,3,3,2.0,-161.19395077462642
3_3_2.0,explicit,3,3,2.0,-162.0097801371885
3_3_2.5,pragmatic,3,3,2.5,-160.91177405961818
3_3_2.5,explicit,3,3,2.5,-161.77217227787693
3_4_0.5,pragmatic,3,4,0.5,-162.2591460293063
3_4_0.5,explicit,3,4,0.5,-162.80703089639871
3_4_0.1,pragmatic,3,4,0.1,-162.40255303613898
3_4_0.1,explicit,3,4,0.1,-162.97099149527605
3_4_1.5,pragmatic,3,4,1.5,-161.69821018096718
3_4_1.5,explicit,3,4,1.5,-162.28218371970942
3_4_2.0,pragmatic,3,4,2.0,-161.31684445817405
3_4_2.0,explicit,3,4,2.0,-162.0097801371885
3_4_2.5,pragmatic,3,4,2.5,-160.90958343213924
3_4_2.5,explicit,3,4,2.5,-161.77217227787693
3_5_0.5,pragmatic,3,5,0.5,-162.65667582762416
3_5_0.5,explicit,3,5,0.5,-162.80703089639871
3_5_0.1,pragmatic,3,5,0.1,-162.78619030282158
3_5_0.1,explicit,3,5,0.1,-162.97099149527605
3_5_1.5,pragmatic,3,5,1.5,-162.13124147086094
3_5_1.5,explicit,3,5,1.5,-162.28218371970942
3_5_2.0,pragmatic,3,5,2.0,-161.7456110942758
3_5_2.0,explicit,3,5,2.0,-162.0097801371885
3_5_2.5,pragmatic,3,5,2.5,-161.28998731448027
3_5_2.5,explicit,3,5,2.5,-161.77217227787693
3_6_0.5,pragmatic,3,6,0.5,-163.09658628899254
3_6_0.5,explicit,3,6,0.5,-162.80703089639871
3_6_0.1,pragmatic,3,6,0.1,-163.20811987993042
3_6_0.1,explicit,3,6,0.1,-162.97099149527605
3_6_1.5,pragmatic,3,6,1.5,-162.64144434906
3_6_1.5,explicit,3,6,1.5,-162.28218371970942
3_6_2.0,pragmatic,3,6,2.0,-162.29581907039798
3_6_2.0,explicit,3,6,2.0,-162.0097801371885
3_6_2.5,pragmatic,3,6,2.5,-161.86389677440295
3_6_2.5,explicit,3,6,2.5,-161.77217227787693
3_7_0.5,pragmatic,3,7,0.5,-163.50662811973584
3_7_0.5,explicit,3,7,0.5,-162.80703089639871
3_7_0.1,pragmatic,3,7,0.1,-163.60204176628704
3_7_0.1,explicit,3,7,0.1,-162.97099149527605
3_7_1.5,pragmatic,3,7,1.5,-163.12578660068505
3_7_1.5,explicit,3,7,1.5,-162.28218371970942
3_7_2.0,pragmatic,3,7,2.0,-162.83638610876108
3_7_2.0,explicit,3,7,2.0,-162.0097801371885
3_7_2.5,pragmatic,3,7,2.5,-162.463363423058
3_7_2.5,explicit,3,7,2.5,-161.77217227787693
4_1_0.5,pragmatic,4,1,0.5,-159.06742179109636
4_1_0.5,explicit,4,1,0.5,-159.68576569688395
4_1_0.1,pragmatic,4,1,0.1,-159.15459660735098
4_1_0.1,explicit,4,1,0.1,-159.80851849396782
4_1_1.5,pragmatic,4,1,1.5,-158.81623733264468
4_1_1.5,explicit,4,1,1.5,-159.31397572097188
4_1_2.0,pragmatic,4,1,2.0,-158.71280389401448
4_1_2.0,explicit,4,1,2.0,-159.13488430397416
4_1_2.5,pragmatic,4,1,2.5,-158.647589695455
